team_raw,action,start,end,half,pos_x,pos_y,source_layer
Galatasaray (29205),Başarısız İlerletici Paslar,191.55,203.55,1,82.61,9.4,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),191.55,203.55,1,82.61,9.4,(2)_timeline
Galatasaray (29205),Top Kaybı,191.55,203.55,1,99.22,8.21,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,191.55,203.55,1,82.61,9.4,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,193.55,205.55,1,5.78,59.79,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,197.55,209.55,1,6.26,59.65,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,197.55,209.55,1,6.26,59.65,(2)_timeline
Caykur Rizespor (62850),Uzun Kale Vuruşları (40+ mt),197.55,209.55,1,6.26,59.65,(2)_timeline
Caykur Rizespor (62850),Uzun paslar,197.55,209.55,1,6.26,59.65,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,197.55,209.55,1,6.26,59.65,(2)_timeline
Galatasaray (29205),Başarılı hava topu mücadeleleri,199.55,211.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,199.55,211.55,1,56.92,16.37,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,199.55,211.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Geri Kazanılan Toplar,199.55,211.55,1,56.92,16.37,(2)_timeline
Caykur Rizespor (62850),Kaybedilen hava topu mücadeleleri,199.55,211.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),199.55,211.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,199.55,211.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Rakip sahada geri kazanılan toplar,199.55,211.55,1,56.92,16.37,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,199.55,211.55,1,48.08,51.63,(2)_timeline
Caykur Rizespor (62850),Top kayıpları / kendi yarı sahasında,199.55,211.55,1,48.08,51.63,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),200.55,212.55,1,57.4,10.32,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,200.55,212.55,1,57.4,10.32,(2)_timeline
