ID;start;end;code;team;action;half;pos_x;pos_y
97;3850.27;3862.27;75. Yahia Fofana (470003) - Yakından isabetli şutlar;Caykur Rizespor (62850);Yakından isabetli şutlar;2;99.82;37.52
98;3850.27;3862.27;75. Yahia Fofana (470003) - Yenen goller;Caykur Rizespor (62850);Yenen goller;2;99.82;37.52
99;3850.27;3862.27;75. Yahia Fofana (470003) - İsabetli Şut;Caykur Rizespor (62850);İsabetli Şut;2;99.82;37.52
100;4069.27;4081.27;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;2;7.09;34.42
101;4069.27;4081.27;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;2;7.09;34.42
102;4139.27;4151.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;15.22;31.27
103;4280.27;4292.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;10.32;30.55
104;4511.27;4523.27;75. Yahia Fofana (470003) - Yanlarda Başarısız Çıkış;Caykur Rizespor (62850);Yanlarda Başarısız Çıkış;2;11.75;31.92
105;4512.27;4524.27;75. Yahia Fofana (470003) - Yakından isabetli şutlar;Caykur Rizespor (62850);Yakından isabetli şutlar;2;103.64;40.28
106;4512.27;4524.27;75. Yahia Fofana (470003) - Yenen goller;Caykur Rizespor (62850);Yenen goller;2;103.64;40.28
107;4512.27;4524.27;75. Yahia Fofana (470003) - İsabetli Şut;Caykur Rizespor (62850);İsabetli Şut;2;103.64;40.28
108;4693.27;4705.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;24.9;26.48
109;4701.27;4713.27;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;2;7.57;35.87
110;4701.27;4713.27;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;2;7.57;35.87
111;4716.27;4728.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;15.82;33.31
112;4758.27;4770.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;7.69;36.4
113;5051.27;5063.27;75. Yahia Fofana (470003) - Direkten dönen şutlar;Caykur Rizespor (62850);Direkten dönen şutlar;2;85.24;34.88
114;5056.27;5068.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;12.11;36.41
115;5082.27;5094.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;11.99;35.4
116;5109.27;5121.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;13.43;39.08
117;5178.27;5190.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;25.26;28.96
118;5209.27;5221.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;19.52;31.15
119;5209.27;5221.27;75. Yahia Fofana (470003) - Uzun paslar;Caykur Rizespor (62850);Uzun paslar;2;19.52;31.15
120;5242.27;5254.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;9.84;24.09
121;5385.27;5397.27;1. Uğurcan Çakır (235597) - Başarısız Uzun Toplar;Galatasaray (29205);Başarısız Uzun Toplar;2;8.77;33.69
122;5385.27;5397.27;1. Uğurcan Çakır (235597) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;2;8.77;33.69
123;5462.27;5474.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;21.43;32.9
124;5476.27;5488.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;13.91;44.87
125;5537.27;5549.27;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;2;11.99;48.25
126;5537.27;5549.27;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;2;11.99;48.25
127;5602.27;5614.27;1. Uğurcan Çakır (235597) - Kurtarış;Galatasaray (29205);Kurtarış;2;97.67;23.66
128;5602.27;5614.27;1. Uğurcan Çakır (235597) - Kurtarışlar;Galatasaray (29205);Kurtarışlar;2;1.48;37.9
129;5602.27;5614.27;1. Uğurcan Çakır (235597) - Yakından isabetli şutlar;Galatasaray (29205);Yakından isabetli şutlar;2;97.67;23.66
130;5602.27;5614.27;1. Uğurcan Çakır (235597) - İsabetli Şut;Galatasaray (29205);İsabetli Şut;2;97.67;23.66
131;5745.27;5757.27;1. Uğurcan Çakır (235597) - Kurtarış;Galatasaray (29205);Kurtarış;2;79.98;48.77
132;5745.27;5757.27;1. Uğurcan Çakır (235597) - Serbest Vuruş Şutları;Galatasaray (29205);Serbest Vuruş Şutları;2;79.98;48.77
133;5745.27;5757.27;1. Uğurcan Çakır (235597) - İsabetli uzaktan şutlar;Galatasaray (29205);İsabetli uzaktan şutlar;2;79.98;48.77
134;5745.27;5757.27;1. Uğurcan Çakır (235597) - İsabetli Şut;Galatasaray (29205);İsabetli Şut;2;79.98;48.77
135;5760.27;5760.27;End of the match;;End of the match;2;;
