id,team,action,start,end,half,pos_x,pos_y
3174,Galatasaray (29205),Paslar adresi bulanlar,4890.27,4902.27,2,64.81,3.32
3175,Galatasaray (29205),Başarılı İleri Paslar,4894.27,4906.27,2,57.88,17.26
3176,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4894.27,4906.27,2,57.88,17.26
3177,Galatasaray (29205),Paslar adresi bulanlar,4894.27,4906.27,2,57.88,17.26
3178,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4895.27,4907.27,2,61.58,22.12
3179,Galatasaray (29205),Paslar adresi bulanlar,4895.27,4907.27,2,61.58,22.12
3180,Galatasaray (29205),Başarılı İleri Paslar,4897.27,4909.27,2,69.59,15.81
3181,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4897.27,4909.27,2,69.59,15.81
3182,Galatasaray (29205),Paslar adresi bulanlar,4897.27,4909.27,2,69.59,15.81
3183,Galatasaray (29205),İsabetli İlerletici Paslar,4897.27,4909.27,2,69.59,15.81
3184,Galatasaray (29205),3. Bölgede Başarılı Dripling,4899.27,4911.27,2,78.55,5.95
3185,Galatasaray (29205),Başarılı driplingler,4899.27,4911.27,2,78.55,5.95
3186,Galatasaray (29205),Başarılı İkili Mücadeleler,4899.27,4911.27,2,78.55,5.95
3187,Caykur Rizespor (62850),Başarısız Top Kapma,4899.27,4911.27,2,78.55,5.95
3188,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,4899.27,4911.27,2,78.55,5.95
3189,Galatasaray (29205),Başarılı İkili Mücadeleler,4901.27,4913.27,2,78.19,16.6
3190,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,4901.27,4913.27,2,78.19,16.6
3191,Caykur Rizespor (62850),Faul,4901.27,4913.27,2,26.57,50.09
3192,Galatasaray (29205),Yapılan Fauller,4901.27,4913.27,2,26.57,50.09
3193,Galatasaray (29205),Başarısız Ceza Sahasına Paslar,4969.27,4981.27,2,78.07,16.47
3194,Galatasaray (29205),Başarısız İleri Paslar,4969.27,4981.27,2,78.07,16.47
3195,Galatasaray (29205),Başarısız İlerletici Paslar,4969.27,4981.27,2,78.07,16.47
3196,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4969.27,4981.27,2,78.07,16.47
3197,Galatasaray (29205),Top Kaybı,4969.27,4981.27,2,95.75,34.88
3198,Galatasaray (29205),İsabetsiz paslar,4969.27,4981.27,2,78.07,16.47
3199,Caykur Rizespor (62850),Başarılı İleri Paslar,4971.27,4983.27,2,9.25,33.12
3200,Caykur Rizespor (62850),Geri Kazanılan Toplar,4971.27,4983.27,2,9.25,33.12
3201,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4971.27,4983.27,2,9.25,33.12
3202,Caykur Rizespor (62850),Paslar adresi bulanlar,4971.27,4983.27,2,9.25,33.12
3203,Galatasaray (29205),Serbest Vuruş hücumları,4973.27,4979.27,2,78.07,16.47
3204,Caykur Rizespor (62850),Başarılı İleri Paslar,4973.27,4985.27,2,28.0,26.81
3205,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),4973.27,4985.27,2,28.0,26.81
3206,Caykur Rizespor (62850),Paslar adresi bulanlar,4973.27,4985.27,2,28.0,26.81
3207,Caykur Rizespor (62850),Başarısız İleri Paslar,4975.27,4987.27,2,35.29,33.65
3208,Caykur Rizespor (62850),Başarısız İlerletici Paslar,4975.27,4987.27,2,35.29,33.65
3209,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4975.27,4987.27,2,35.29,33.65
3210,Caykur Rizespor (62850),Top Kaybı,4975.27,4987.27,2,54.29,18.79
3211,Caykur Rizespor (62850),İsabetsiz paslar,4975.27,4987.27,2,35.29,33.65
3212,Galatasaray (29205),Başarılı İleri Paslar,4978.27,4990.27,2,50.71,49.21
3213,Galatasaray (29205),Geri Kazanılan Toplar,4978.27,4990.27,2,50.71,49.21
3214,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4978.27,4990.27,2,50.71,49.21
3215,Galatasaray (29205),Paslar adresi bulanlar,4978.27,4990.27,2,50.71,49.21
3216,Galatasaray (29205),Başarılı İleri Paslar,4981.27,4993.27,2,62.66,58.68
3217,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4981.27,4993.27,2,62.66,58.68
3218,Galatasaray (29205),Paslar adresi bulanlar,4981.27,4993.27,2,62.66,58.68
3219,Galatasaray (29205),Set Hücumları,4982.27,5024.27,2,50.71,49.21
3220,Galatasaray (29205),Başarılı İleri Paslar,4984.27,4996.27,2,78.43,59.2
3221,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4984.27,4996.27,2,78.43,59.2
3222,Galatasaray (29205),Paslar adresi bulanlar,4984.27,4996.27,2,78.43,59.2
3223,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4986.27,4998.27,2,83.09,61.31
3224,Galatasaray (29205),Paslar adresi bulanlar,4986.27,4998.27,2,83.09,61.31
3225,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4989.27,5001.27,2,72.45,59.73
3226,Galatasaray (29205),Paslar adresi bulanlar,4989.27,5001.27,2,72.45,59.73
3227,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4991.27,5003.27,2,68.87,52.23
3228,Galatasaray (29205),Paslar adresi bulanlar,4991.27,5003.27,2,68.87,52.23
3229,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4999.27,5011.27,2,71.02,33.56
3230,Galatasaray (29205),Paslar adresi bulanlar,4999.27,5011.27,2,71.02,33.56
3231,Caykur Rizespor (62850),Başarılı Top Kapma,5001.27,5013.27,2,68.27,23.83
3232,Caykur Rizespor (62850),Başarılı İkili Mücadeleler,5001.27,5013.27,2,68.27,23.83
3233,Galatasaray (29205),Başarısız Driplingler,5001.27,5013.27,2,68.27,23.83
3234,Galatasaray (29205),Başarısız İkili Mücadeleler,5001.27,5013.27,2,68.27,23.83
3235,Caykur Rizespor (62850),Başarılı İleri Paslar,5002.27,5014.27,2,31.11,44.04
3236,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),5002.27,5014.27,2,31.11,44.04
3237,Caykur Rizespor (62850),Paslar adresi bulanlar,5002.27,5014.27,2,31.11,44.04
3238,Caykur Rizespor (62850),İsabetli İlerletici Paslar,5002.27,5014.27,2,31.11,44.04
3239,Galatasaray (29205),Başarılı İkili Mücadeleler,5005.27,5017.27,2,49.99,11.86
3240,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,5005.27,5017.27,2,49.99,11.86
3241,Galatasaray (29205),Başarılı İleri Paslar,5006.27,5018.27,2,49.51,3.98
3242,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5006.27,5018.27,2,49.51,3.98
3243,Galatasaray (29205),Paslar adresi bulanlar,5006.27,5018.27,2,49.51,3.98
3244,Galatasaray (29205),Başarılı İleri Paslar,5007.27,5019.27,2,61.34,2.66
3245,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5007.27,5019.27,2,61.34,2.66
3246,Galatasaray (29205),Paslar adresi bulanlar,5007.27,5019.27,2,61.34,2.66
3247,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5010.27,5022.27,2,63.49,8.58
3248,Galatasaray (29205),Paslar adresi bulanlar,5010.27,5022.27,2,63.49,8.58
3249,Galatasaray (29205),Başarılı İleri Paslar,5011.27,5023.27,2,59.91,13.97
3250,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5011.27,5023.27,2,59.91,13.97
3251,Galatasaray (29205),Paslar adresi bulanlar,5011.27,5023.27,2,59.91,13.97
3252,Galatasaray (29205),Top Taşıma,5012.27,5024.27,2,62.42,15.81
3253,Galatasaray (29205),Başarısız Ceza Sahasına Paslar,5015.27,5027.27,2,76.4,23.04
3254,Galatasaray (29205),Başarısız Kilit Paslar,5015.27,5027.27,2,76.4,23.04
3255,Galatasaray (29205),Başarısız İleri Paslar,5015.27,5027.27,2,76.4,23.04
3256,Galatasaray (29205),Başarısız İlerletici Paslar,5015.27,5027.27,2,76.4,23.04
3257,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),5015.27,5027.27,2,76.4,23.04
3258,Galatasaray (29205),Top Kaybı,5015.27,5027.27,2,93.36,27.25
3259,Galatasaray (29205),İsabetsiz paslar,5015.27,5027.27,2,76.4,23.04
3260,Caykur Rizespor (62850),Başarılı İleri Paslar,5016.27,5028.27,2,17.49,38.12
3261,Caykur Rizespor (62850),Geri Kazanılan Toplar,5016.27,5028.27,2,17.49,38.12
3262,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),5016.27,5028.27,2,17.49,38.12
3263,Caykur Rizespor (62850),Paslar adresi bulanlar,5016.27,5028.27,2,17.49,38.12
3264,Galatasaray (29205),Başarılı Top Kapma,5018.27,5030.27,2,23.11,38.78
3265,Galatasaray (29205),Başarılı İkili Mücadeleler,5018.27,5030.27,2,23.11,38.78
3266,Caykur Rizespor (62850),Başarısız Driplingler,5018.27,5030.27,2,23.11,38.78
3267,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,5018.27,5030.27,2,23.11,38.78
3268,Galatasaray (29205),3. Bölgede Başarısız Paslar,5021.27,5033.27,2,83.45,16.86
3269,Caykur Rizespor (62850),Başarılı Top Kapma,5021.27,5033.27,2,83.45,16.86
3270,Caykur Rizespor (62850),Başarılı İkili Mücadeleler,5021.27,5033.27,2,83.45,16.86
3271,Galatasaray (29205),Başarısız Driplingler,5021.27,5033.27,2,83.45,16.86
3272,Galatasaray (29205),Başarısız İkili Mücadeleler,5021.27,5033.27,2,83.45,16.86
3273,Caykur Rizespor (62850),Başarılı İkili Mücadeleler,5022.27,5034.27,2,28.6,50.09
3274,Galatasaray (29205),Başarısız İkili Mücadeleler,5022.27,5034.27,2,28.6,50.09
3275,Galatasaray (29205),Geri Kazanılan Toplar,5024.27,5036.27,2,69.71,8.05
3276,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5024.27,5036.27,2,69.71,8.05
3277,Galatasaray (29205),Paslar adresi bulanlar,5024.27,5036.27,2,69.71,8.05
3278,Galatasaray (29205),Rakip sahada geri kazanılan toplar,5024.27,5036.27,2,69.71,8.05
3279,Galatasaray (29205),Başarılı İleri Paslar,5027.27,5039.27,2,58.24,13.71
3280,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5027.27,5039.27,2,58.24,13.71
3281,Galatasaray (29205),Paslar adresi bulanlar,5027.27,5039.27,2,58.24,13.71
3282,Galatasaray (29205),İsabetli İlerletici Paslar,5027.27,5039.27,2,58.24,13.71
