ID;start;end;code;team;action;half;pos_x;pos_y
982;1745.55;1757.55;42. Abdülkerim Bardakcı (126526) - Geri Kazanılan Toplar;Galatasaray (29205);Geri Kazanılan Toplar;1;41.27;25.97
983;1745.55;1757.55;42. Abdülkerim Bardakcı (126526) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;41.27;25.97
984;1746.55;1758.55;34. Lucas Torreira (1469956) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;50.23;21.23
985;1749.55;1772.55;6. Davinson Sánchez (1647732) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;41.27;25.97
986;1749.55;1772.55;7. Roland Sallai (1282353) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;41.27;25.97
987;1749.55;1772.55;8. Gabriel Sara (533884) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;41.27;25.97
988;1749.55;1772.55;34. Lucas Torreira (1469956) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;41.27;25.97
989;1749.55;1772.55;42. Abdülkerim Bardakcı (126526) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;41.27;25.97
990;1751.55;1763.55;7. Roland Sallai (1282353) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;42.46;8.08
991;1756.55;1768.55;6. Davinson Sánchez (1647732) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;34.1;22.02
992;1756.55;1768.55;6. Davinson Sánchez (1647732) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;34.1;22.02
993;1760.55;1772.55;8. Gabriel Sara (533884) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;49.15;41.35
994;1760.55;1772.55;8. Gabriel Sara (533884) - Başarısız İlerletici Paslar;Galatasaray (29205);Başarısız İlerletici Paslar;1;49.15;41.35
995;1760.55;1772.55;8. Gabriel Sara (533884) - Top Kaybı;Galatasaray (29205);Top Kaybı;1;83.21;22.68
996;1760.55;1772.55;8. Gabriel Sara (533884) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;49.15;41.35
997;1784.55;1796.55;4. Ismail Jakobs (673189) - Başarılı İkili Mücadeleler;Galatasaray (29205);Başarılı İkili Mücadeleler;1;58.59;63.7
998;1784.55;1796.55;10. Ibrahim Olawoyin (1079289) - Başarısız İkili Mücadeleler;Caykur Rizespor (62850);Başarısız İkili Mücadeleler;1;58.59;63.7
999;1784.55;1796.55;4. Ismail Jakobs (673189) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;60.51;64.62
1000;1784.55;1796.55;4. Ismail Jakobs (673189) - Başarısız İlerletici Paslar;Galatasaray (29205);Başarısız İlerletici Paslar;1;60.51;64.62
1001;1784.55;1796.55;4. Ismail Jakobs (673189) - Top Kaybı;Galatasaray (29205);Top Kaybı;1;68.63;54.37
1002;1784.55;1796.55;4. Ismail Jakobs (673189) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;60.51;64.62
1003;1786.55;1798.55;20. Qazim Laçi (808862) - Geri Kazanılan Toplar;Caykur Rizespor (62850);Geri Kazanılan Toplar;1;36.37;13.63
1004;1786.55;1798.55;20. Qazim Laçi (808862) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;36.37;13.63
1005;1788.55;1794.55;4. Ismail Jakobs (673189) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;58.59;63.7
1006;1789.55;1801.55;37. Taha Şahin (1275421) - Başarılı İleri Paslar;Caykur Rizespor (62850);Başarılı İleri Paslar;1;26.81;4.95
1007;1789.55;1801.55;37. Taha Şahin (1275421) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;26.81;4.95
1008;1790.55;1808.55;7. Valentin Mihăilă (967060) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;36.37;13.63
1009;1790.55;1808.55;20. Qazim Laçi (808862) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;36.37;13.63
1010;1790.55;1808.55;37. Taha Şahin (1275421) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;36.37;13.63
1011;1791.55;1803.55;20. Qazim Laçi (808862) - Başarılı driplingler;Caykur Rizespor (62850);Başarılı driplingler;1;38.04;3.25
1012;1791.55;1803.55;20. Qazim Laçi (808862) - Başarılı İkili Mücadeleler;Caykur Rizespor (62850);Başarılı İkili Mücadeleler;1;38.04;3.25
1013;1791.55;1803.55;34. Lucas Torreira (1469956) - Başarısız Top Kapma;Galatasaray (29205);Başarısız Top Kapma;1;38.04;3.25
1014;1791.55;1803.55;34. Lucas Torreira (1469956) - Başarısız İkili Mücadeleler;Galatasaray (29205);Başarısız İkili Mücadeleler;1;38.04;3.25
1015;1796.55;1808.55;20. Qazim Laçi (808862) - Başarılı İleri Paslar;Caykur Rizespor (62850);Başarılı İleri Paslar;1;32.78;16.53
1016;1796.55;1808.55;20. Qazim Laçi (808862) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;32.78;16.53
1017;1800.55;1812.55;6. Davinson Sánchez (1647732) - Faul;Galatasaray (29205);Faul;1;63.85;46.48
1018;1800.55;1812.55;7. Valentin Mihăilă (967060) - Yapılan Fauller;Caykur Rizespor (62850);Yapılan Fauller;1;63.85;46.48
1019;1809.55;1821.55;4. Attila Mocsi (981916) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;40.07;20.47
1020;1812.55;1824.55;37. Taha Şahin (1275421) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;44.26;6.53
1021;1814.55;1826.55;14. Taylan Antalyalı (74432) - Başarısız İleri Paslar;Caykur Rizespor (62850);Başarısız İleri Paslar;1;50.59;16.92
1022;1814.55;1826.55;14. Taylan Antalyalı (74432) - Başarısız İlerletici Paslar;Caykur Rizespor (62850);Başarısız İlerletici Paslar;1;50.59;16.92
1023;1814.55;1826.55;14. Taylan Antalyalı (74432) - Top Kaybı;Caykur Rizespor (62850);Top Kaybı;1;79.27;8.11
1024;1814.55;1826.55;14. Taylan Antalyalı (74432) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;50.59;16.92
1025;1816.55;1828.55;4. Ismail Jakobs (673189) - Geri Kazanılan Toplar;Galatasaray (29205);Geri Kazanılan Toplar;1;25.73;59.89
1026;1816.55;1828.55;4. Ismail Jakobs (673189) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;25.73;59.89
1027;1817.55;1829.55;42. Abdülkerim Bardakcı (126526) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;27.29;55.81
1028;1817.55;1829.55;42. Abdülkerim Bardakcı (126526) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;27.29;55.81
1029;1818.55;1830.55;8. Gabriel Sara (533884) - Başarılı İkili Mücadeleler;Galatasaray (29205);Başarılı İkili Mücadeleler;1;41.75;50.95
1030;1818.55;1830.55;14. Taylan Antalyalı (74432) - Başarısız İkili Mücadeleler;Caykur Rizespor (62850);Başarısız İkili Mücadeleler;1;41.75;50.95
1031;1818.55;1830.55;8. Gabriel Sara (533884) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;41.75;50.95
1032;1819.55;1831.55;34. Lucas Torreira (1469956) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;38.16;48.84
1033;1819.55;1831.55;34. Lucas Torreira (1469956) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;38.16;48.84
1034;1820.55;1832.55;11. Yunus Akgün (27735) - Top Taşıma;Galatasaray (29205);Top Taşıma;1;48.92;47.14
1035;1820.55;1833.55;4. Ismail Jakobs (673189) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;25.73;59.89
1036;1820.55;1833.55;8. Gabriel Sara (533884) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;25.73;59.89
1037;1820.55;1833.55;11. Yunus Akgün (27735) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;25.73;59.89
1038;1820.55;1833.55;34. Lucas Torreira (1469956) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;25.73;59.89
1039;1820.55;1833.55;42. Abdülkerim Bardakcı (126526) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;25.73;59.89
1040;1825.55;1837.55;11. Yunus Akgün (27735) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;78.07;39.77
1041;1825.55;1837.55;3. Samet Akaydin (26800) - Geri Kazanılan Toplar;Caykur Rizespor (62850);Geri Kazanılan Toplar;1;24.06;29.02
1042;1825.55;1837.55;11. Yunus Akgün (27735) - Top Kaybı;Galatasaray (29205);Top Kaybı;1;80.94;38.98
1043;1825.55;1837.55;11. Yunus Akgün (27735) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;78.07;39.77
1044;1827.55;1839.55;37. Taha Şahin (1275421) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;13.43;22.05
1045;1829.55;1841.55;54. Mithat Pala (1108032) - Top Taşıma;Caykur Rizespor (62850);Top Taşıma;1;28.96;52.95
1046;1831.55;1858.55;10. Ibrahim Olawoyin (1079289) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;13.43;22.05
1047;1831.55;1858.55;37. Taha Şahin (1275421) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;13.43;22.05
1048;1831.55;1858.55;54. Mithat Pala (1108032) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;13.43;22.05
1049;1840.55;1852.55;54. Mithat Pala (1108032) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;68.75;32.04
1050;1844.55;1856.55;10. Ibrahim Olawoyin (1079289) - Başarılı İleri Paslar;Caykur Rizespor (62850);Başarılı İleri Paslar;1;76.64;4.95
